,Clone,Species,ploidy,Female,Male,Release year,Category,Market,,
1,Norin1,S.tuberosum,4x,Irish Cobbler,Deodara,1943,Japanese variety,Table,,
2,Eniwa,S.tuberosum,4x,Shimakei 267,Shimakei 232,1961,Japanese variety,Starch processing,,
3,Yukijiro,S.tuberosum,4x,Kennebec,Norin 2,1961,Japanese variety,French fry processing,,
4,Chijiwa,S.tuberosum,4x,S54042-15,Unzen,1962,Japanese variety,Table,,
5,Hokkai-aka,S.tuberosum,4x,2070-ab(31),Shimakei 290,1965,Japanese variety,Starch processing,,
6,Shiretoko,S.tuberosum,4x,Hokkai 24,Shimakei 291,1967,Japanese variety,Starch processing,,
7,Bihoro,S.tuberosum,4x,Hokkai 29,Hochprozentige,1969,Japanese variety,Starch processing,,
8,Tarumae,S.tuberosum,4x,Oojiro,Hochprozentige,1969,Japanese variety,Starch processing,,
9,Dejima,S.tuberosum,4x,Hokkai 31,Unzen,1971,Japanese variety,Table,,
10,Waseshiro,S.tuberosum,4x,Konkei 7,Hokkai 39,1974,Japanese variety,Chip processing,,
11,Toyoshiro,S.tuberosum,4x,Hokkai 19,Eniwa,1976,Japanese variety,Chip processing,,
12,Norin2,S.tuberosum,4x,Irish Cobbler,Pepo,1945,Japanese variety,Table,,
13,Setoyutaka,S.tuberosum,4x,Saikai 10,Unzen,1977,Japanese variety,Table,,
14,Nishiyutaka,S.tuberosum,4x,Dejima,Chokei 65,1978,Japanese variety,Table,,
15,Hatsufubuki,S.tuberosum,4x,Irish Cobbler,WB61037-4,1979,Japanese variety,Starch processing,,
16,Hokkaikogane,S.tuberosum,4x,Toyoshiro,Hokkai 51,1981,Japanese variety,French fry processing,,
17,Konafubuki,S.tuberosum,4x,Toyoshiro,WB66201-10,1981,Japanese variety,Starch processing,,
18,Toyo-akari,S.tuberosum,4x,Tunika,WB61037-4,1986,Japanese variety,Starch processing,,
19,Meihou,S.tuberosum,4x,Chijiwa,Chokei 80,1986,Japanese variety,Table,,
20,Kita-akari,S.tuberosum,4x,Irish Cobbler,Tunika,1987,Japanese variety,Table,,
21,Ezo-akari,S.tuberosum,4x,Tunika,Priekulsky Ranny,1987,Japanese variety,Table,,
22,Touya,S.tuberosum,4x,R392-50,WB77025-2,1992,Japanese variety,Table,,
23,Chitose,S.tuberosum,4x,Irish Cobbler,Hon-iku 393,1953,Japanese variety,Table,,
24,Musamaru,S.tuberosum,4x,Tunika,Kon-iku 20,1992,Japanese variety,French fry processing,,
25,Beni-akari,S.tuberosum,4x,Hokkai 61,R392-50,1994,Japanese variety,Table,,
26,Sakurafubuki,S.tuberosum,4x,Konafubuki,Toyo-akari,1994,Japanese variety,Starch processing,,
27,Aino-aka,S.tuberosum,4x,Dejima,Norland,1994,Japanese variety,Table,,","
28,Sayaka,S.tuberosum,4x,Pentland Dell,R392-50,1995,Japanese variety,Table,,
29,EarlyStarch,S.tuberosum,4x,Shimakei 523,R392-50,1996,Japanese variety,Starch processing,,
30,Hanashibetsu,S.tuberosum,4x,W553-4,R392-50,1997,Japanese variety,Table,,
31,Fugenmaru,S.tuberosum,4x,Atlantic,P-7,1997,Japanese variety,Table,,
32,StarQueen,S.tuberosum,4x,Atlantic,Cherokee,2000,Japanese variety,Table,,
33,Tokachikogane,S.tuberosum,4x,R392-3,69095-17,2000,Japanese variety,Table,,
34,Oojiro,S.tuberosum,4x,Irish Cobbler,Norin 1,1954,Japanese variety,Table,,
35,Yukirasha,S.tuberosum,4x,Early Gem,86002-100,2000,Japanese variety,Table,,
36,Haru-akari,S.tuberosum,4x,T8973-20,Fugenmaru,2002,Japanese variety,Table,,
37,Inca-no-mezame_2x,S.tuberosum,2x,W822229-5,P10173-5,2001,Japanese variety,Table,,
38,IncaPigmented,S.tuberosum,4x,KW85091-21,Shimakei 284,2000,Japanese variety,Table,,
39,IncaRed,S.tuberosum,4x,KW85093-33,Shimakei 284,2000,Japanese variety,Table,,
40,Natsufubuki,S.tuberosum,4x,Musamaru,Shimakei 544,2003,Japanese variety,Starch processing,,
41,Aiyutaka,S.tuberosum,4x,Dejima,Chokei 108,2003,Japanese variety,Table,,
42,StarRuby,S.tuberosum,4x,Hokkai 77,87028-6,2004,Japanese variety,Table,,
43,Kitamurasaki,S.tuberosum,4x,Shimakei 571,Shimakei 561,2004,Japanese variety,Table,,
44,SnowMarch,S.tuberosum,4x,Atlantic,Cherokee,2004,Japanese variety,Table,,
45,Unzen,S.tuberosum,4x,Norin 1,Katahdin,1955,Japanese variety,Table,,
46,Okhotsk-chip,S.tuberosum,4x,Atlantic,ND860-2,2005,Japanese variety,Chip processing,,
47,Ranran-chip,S.tuberosum,4x,Touya,83068C-51,2005,Japanese variety,Chip processing,,
48,Yukitsubura,S.tuberosum,4x,Pentland Dell,Touya,2005,Japanese variety,Table,,
49,Koganemaru,S.tuberosum,4x,Musamaru,Tokachikogane,2006,Japanese variety,French fry processing,,
50,NorthernRuby,S.tuberosum,4x,Seedling of open-pollinated Kitamurasaki,,2006,Japanese variety,Table,,
51,ShadowQueen,S.tuberosum,4x,Seedling of open-pollinated Kitamurasaki,,2006,Japanese variety,Table,,
52,Inca-no-hitomi_2x,S.tuberosum,2x,Seedling of open-pollinated Inca-no-mezame,,2006,Japanese variety,Table,,
53,Saya-akane,S.tuberosum,4x,I-853,Hanashibetsu,2006,Japanese variety,Table,,
54,Haruka,S.tuberosum,4x,T9020-8,Sayaka,2008,Japanese variety,Table,,
55,Konayuki,S.tuberosum,4x,Benimaru,Kon-iku 39,2011,Japanese variety,Starch processing,,
56,Tachibana,S.tuberosum,4x,Norin 1,Katahdin,1955,Japanese variety,Table,,
57,Piruka,S.tuberosum,4x,Meiho,Tokachikogane,2010,Japanese variety,Table,,
58,Hikaru,S.tuberosum,4x,87062-217,Maris Bard,2007,Japanese variety,Table,,
59,Kitakamui,S.tuberosum,4x,Yellow Shark,Touya,2010,Japanese variety,Table,,
60,RedMoon,S.tuberosum,4x,?,?,1991,Japanese variety,Table,,
61,WhiteFlyer,S.tuberosum,4x,Hokkai 68,ND860-2,2000,Japanese variety,Chip processing,,
62,IncaGold_2x,S.tuberosum,2x,W822229-1,W872209-5,2001,Japanese variety,Table,,
63,Benihisashi_2x,S.tuberosum,2x,W862207-1,WB72209-5,2001,Japanese variety,Table,,
64,NorthChip,S.tuberosum,4x,Hokkaikogane,ND860-2,2002,Japanese variety,Chip processing,,
65,Kitahime,S.tuberosum,4x,White Fryer,Sayaka,2001,Japanese variety,Chip processing,,
66,TokachiPirika,S.tuberosum,4x,Konafubuki,Early Gem,2005,Japanese variety,Table,,
67,Yoraku,S.tuberosum,4x,41089-8,Norin 1,1958,Japanese variety,Starch processing,,
68,Benimaru,S.tuberosum,4x,Lembke Fr?he Rosen,Pepo,1938,Japanese variety,Starch processing,,
69,Neodelicious_3x,S.tuberosum,3x,Early Rose,S. phureja W253,-,Japanese variety,Table,,
70,Inca-no-hoshi,S.tuberosum,4x,E57191-2,Hochprozentige,-,Japanese variety,Table,,
71,Hokkai50,S.tuberosum,4x,Irish Cobbler,96-56,-,Japanese variety,Table,,
72,Saikai35,S.tuberosum,4x,TD0101,Sakurafubuki,2012,Japanese advanced breeding clone,Table,,
73,Bifukabeni,S.tuberosum,4x,Cimbal's Phoenix,Pepo,1942,Japanese variety,Starch processing,,
74,Nemuromurasaki,S.tuberosum,4x,?,,-,Japanese landrace,Table,,
75,Myojo,S.tuberosum,4x,Nemuromurasaki,Pepo,1938,Japanese variety,Table,,
76,DragonRed,S.tuberosum,4x,96016-8,Chokei 115,2009,Japanese variety,Table,,
77,Rishiri,S.tuberosum,4x,41089-8,Norin 1,1960,Japanese variety,Starch processing,,
78,LilasChip,S.tuberosum,4x,Andover,Snow March,2014,Japanese variety,Chip processing,,
79,Kintoki-imo,S.tuberosum,4x,?,,-,Japanese landrace,Table,,
80,Kobo-imo,S.tuberosum,4x,?,,-,Japanese landrace,Table,,
81,Seinaiji-ki-imo,S.tuberosum,4x,?,,-,Japanese landrace,Table,,
82,Shizuki,S.tuberosum,4x,Nagasakimurasaki,Tokachikogane,2013,Japanese variety,Table,,
83,Konahime,S.tuberosum,4x,DP01,Konafubuki,2017,Japanese variety,Starch processing,,
84,PearlStarch,S.tuberosum,4x,Musamaru,Hokkai 87,2017 or later,Japanese variety,Starch processing,,
85,IncaRouge_2x,S.tuberosum,2x,Sport of Inca-no-mezame,,2009,Japanese variety,Table,,
86,Poroshiri,S.tuberosum,4x,Norking Russet,Pike,2017,Japanese variety,Chip processing,,
87,Shimabara,S.tuberosum,4x,Norin 1,Gineke,1960,Japanese variety,Table,,
88,Akanekaze,S.tuberosum,4x,Red Moon,Star Ruby,2017 or later,Japanese variety,Table,,
89,Kitamusashi,S.tuberosum,4x,Chokei 101,Hokkai 82,2013,Japanese variety,Table,,
90,Konayutaka,S.tuberosum,4x,Kon-iku 38,K99009-4,2017 or later,Japanese variety,Starch processing,,
91,Sanjyumaru,S.tuberosum,4x,Chokei 107,Haru-akari,2011,Japanese variety,Table,,
92,10H17,S.tuberosum,4x,Saikai 35,Pike,-,Japanese advanced breeding clone,Table,,
93,Harimaru,S.tuberosum,4x,Saikai 35,Pike,2017,Japanese variety,Table,,
94,NagasakiKogane,S.tuberosum,4x,Saikai 35,Saikai 33,2017,Japanese variety,Table,,
