,Clone,Species,Mother ,Father,Category,Ploidy,Market,Maturity,Release year,Breeding program,,
1,Mangang,S. tuberosum,Atlantic,IT244159,Korean variety,4x,chip processing,late,2016,"Highland Agriculture Research Institute, Korea",,
2,Gangseon,S.tuberosum,DK1-83,Chubaek,Korean variety,4x,table stock,late,2016,"Highland Agriculture Research Institute, Korea",,
3,Tamna,S. tuberosum,AJ09,Jeseo,Korean variety,4x,table stock,late,2014,"Jeju provincial Agriculture Research Institute, Korea",,
4,Dano,S. tuberosum,Superior,KS13,Korean variety,4x,table stock,Int,2015,"Wangsan seed company, Korea",,
5,Golden Ball,S. tuberosum,DK1-110,DK1-116,Korean variety,4x,chip processing,Int,2019,"Highland Agriculture Research Institute, Korea",,
6,ArirangNo.1,S. tuberosum,Frontier,DK1-117,Korean variety,4x,table stock,late,2018,"Highland Agriculture Research Institute, Korea",,
7,ArirangNo.2,S. tuberosum,Eigenheimer,DK1-116,Korean variety,4x,table stock,late,2018,"Highland Agriculture Research Institute, Korea",,
8,Oryun,S. tuberosum,Atlantic,CIP705,Korean variety,4x,table stock,late,2012,"Gangwon probincial Agriculture Resrarch Institute, Korea",,
9,Pungnong,S. tuberosum,Atlantic,Gumseo,Korean variety,4x,French fry,late,2015,"Gangwon probincial Agriculture Resrarch Institute, Korea",,
10,Daegwang,S. tuberosum,Haryeong,P3404-1,Korean variety,4x,table stock,Int,2015,"Highland Agriculture Research Institute, Korea",,
11,Namjak,S. tuberosum,-,-,Korean variety,4x,table stock,early,1876(1961),Irish Cobbler,,
12,Sinnamjak,S. tuberosum,Irish cobbler,Katahdin,Korean variety,4x,table stock,late,2002,"Highland Agriculture Research Institute, Korea",,
13,Namseon,S. tuberosum,Chugang,Dakota pearl,Korean variety,4x,chip processing,early,2016,"Highland Agriculture Research Institute, Korea",,
14,Geumseon,S. tuberosum,Chuyoung,DK1-8,Korean variety,4x,table stock,early,2015,"Highland Agriculture Research Institute, Korea",,
15,Eunseon,S. tuberosum,Chugang,Dakota pearl,Korean variety,4x,chip processing,early,2017,"Highland Agriculture Research Institute, Korea",,
16,Suseon,S. tuberosum,GoUn,DK1-109,Korean variety,4x,chip processing,Int,2018,"Highland Agriculture Research Institute, Korea",,
17,Jinseon,S. tuberosum,DK1-87,DK2-19,Korean variety,4x,chip processing,early,2015,"Highland Agriculture Research Institute, Korea",,
18,Chubaek,S. tuberosum,H83011-3,Superior,Korean variety,4x,table stock,early,1999,"Highland Agriculture Research Institute, Korea",,
19,Chudong,S. tuberosum,H83520-3,Superior,Korean variety,4x,table stock,early,2001,"Highland Agriculture Research Institute, Korea",,
20,Chugang,S. tuberosum,H83005-2,Superior,Korean variety,4x,table stock,Int,2002,"Highland Agriculture Research Institute, Korea",,
21,Chuyoung,S. tuberosum,Dejima,HRB-31,Korean variety,4x,table stock,late,2004,"Highland Agriculture Research Institute, Korea",,
22,Bangul,S. tuberosum,Dejima,Superior,Korean variety,4x,table stock,early,2010,"Highland Agriculture Research Institute, Korea",,
23,Saebong,S. tuberosum,DK2-8,DH09-231,Korean variety,4x,chip processing,early,2010,"Highland Agriculture Research Institute, Korea",,
24,Jeseo,S.tuberosum,S. brevidens,Superior,Korean variety,4x,table stock,Int,2007,"Jeju provincial Agriculture Research Institute, Korea",,
25,Dami,S. tuberosum,DK1-97,DK1-98,Korean variety,4x,table stock,Int,2015,"Highland Agriculture Research Institute, Korea",,
26,Jungmo9001,S. tuberosum,DK1-83,Chubaek,Korean variety,4x,table stock,late,2015,"Highland Agriculture Research Institute, Korea",,
27,Jowon,S. tuberosum,Inje misang,Katahdin,Korean variety,4x,table stock,early,2001,"Highland Agriculture Research Institute, Korea",,
28,Jopoong,S. tuberosum,Resy,Superior,Korean variety,4x,table stock,early,1988,"Highland Agriculture Research Institute, Korea",,
29,Seohong,S. tuberosum,Jashim,93K61-5,Korean variety,4x,table stock,Int,2006,"Highland Agriculture Research Institute, Korea",,
30,Haryeong,S. tuberosum,Atlantic,Superior,Korean variety,4x,table stock,Int,2006,"Highland Agriculture Research Institute, Korea",,
31,Daeseo,S. tuberosum,Wauseon,Lenape,Korean variety,4x,chip processing,Int,1976(1995),"United States Department of Agriculture, USA",,
32,Goun,S. tuberosum,Lemhi russet,Chubaek,Korean variety,4x,chip processing,Int,2006,"Highland Agriculture Research Institute, Korea",,
33,Doobaek,S. tuberosum,-,-,Korean variety,4x,chip processing,Int,2000,"Orion company, Korea",,
34,Daeji,S. tuberosum,Hokkai 31,Unzen,Korean variety,4x,table stock,late,1971(1978),"Nagasaki agricultural research Institute, Japan",,
35,Sepoong,S. tuberosum,Bake king,F58050,Korean variety,4x,French fry,Int,1980(1988),"Agricultural Research Institute, New brunswick, Canada",,
36,Sumi,S. tuberosum,B95-96,M59-44,Korean variety,4x,table stock,early,1961(1978),"Wisconsin University, USA",,
37,Hongseon,S. tuberosum,Dakota Rose,H02005-6,Korean variety,4x,table stock,early,2012,"Highland Agriculture Research Institute, Korea",,
38,Jayoung,S. tuberosum,Atlantic,AG34314,Korean variety,4x,pigmented skin/flesh,late,2007,"Highland Agriculture Research Institute, Korea",,
39,Hongyoung,S. tuberosum,Atlantic,AG34314,Korean variety,4x,pigmented skin/flesh,Int,2007,"Highland Agriculture Research Institute, Korea",,
40,Hongjiseul,S. tuberosum,Hongyoung,Tamna,Korean variety,4x,pigmented skin/flesh,Int,2017,"Jeju provincial Agriculture Research Institute, Korea",,
41,Gahwang,S. tuberosum,Atlantic,AG54071,korean variety,4x,Table stock,early,2002,korean variety,,
42,Suji,S. tuberosum,Saebong,Bangul,korean variety,4x,Table stock/Chip processing,Int,2018,korean variety,,
43,EarlyFri,S. tuberosum,Dakota Pearl,Rusia-3ho,korean variety,4x,table stock,early,2019,korean variety,,
44,GoldenEgg,S. tuberosum,Frontier,Daekwan 1-117,korean variety,4x,Table stock,Int,2019,korean variety,,
45,Hichip,S. tuberosum,Goun,Hongseon,korean variety,4x,Table stock/Chip processing,early,2018,korean variety,,
46,Jaekyo-P-14,S. tuberosum,-,-,Advanced breeding line,4x,-,-,-,"Jeju provincial Agriculture Research Institute, Korea",,
47,Jaekyo-P-15,S. tuberosum,-,-,Advanced breeding line,4x,pigmented skin/flesh,-,-,"Jeju provincial Agriculture Research Institute, Korea",,
48,Daekwan2-41,S. tuberosum,AG44077,Daekwan2-8,Advanced breeding line,4x,Table stock,early,2013,"Highland Agriculture Research Institute, Korea",,
49,Daekwan2-56,S. tuberosum,Atlantic,Daeji,Advanced breeding line,4x,chip processing,Int,2017,"Highland Agriculture Research Institute, Korea",,
50,Daekwan2-57,S. tuberosum,Hongseon,Dakota Pearl,Advanced breeding line,4x,Table stock,Int,2017,"Highland Agriculture Research Institute, Korea",,
51,Daekwan2-58,S. tuberosum,Dakota pearl,Jungmo9001,Advanced breeding line,4x,chip processing,Int,2017,"Highland Agriculture Research Institute, Korea",,
52,Daekwan2-60,S.tuberosum,GoUn,Daekwan1-119,Advanced breeding line,4x,Table stock,Int,2018,"Highland Agriculture Research Institute, Korea",,
53,Daekwan2-62,S. tuberosum,Atlantic,Daekwan1-122,Advanced breeding line,4x,Table stock,Int,2018,"Highland Agriculture Research Institute, Korea",,
54,Daekwan2-63,S. tuberosum,Atlantic,Daeji,Advanced breeding line,4x,Table stock,early,2019,"Highland Agriculture Research Institute, Korea",,
55,Daekwan2-65,S. tuberosum,HaRyeong,JungMo9001,Advanced breeding line,4x,chip processing,Int,2019,"Highland Agriculture Research Institute, Korea",,
56,Daekwan2-66,S. tuberosum,GoUn,Daekwan1-125,Advanced breeding line,4x,chip processing,early,2019,"Highland Agriculture Research Institute, Korea",,
57,Daekwan2-67,S. tuberosum,Goun,Gangseon,Advanced breeding line,4x,chip processing,Int,2019,"Highland Agriculture Research Institute, Korea",,
58,Daekwan2-68,S. tuberosum,Goun,Daekwan2-42,Advanced breeding line,4x,chip processing,Int,2020,"Highland Agriculture Research Institute, Korea",,
59,Daekwan2-69,S. tuberosum,Hongsun,Daekwan 1-126,Advanced breeding line,4x,chip processing,Int,2020,"Highland Agriculture Research Institute, Korea",,
60,DaeKwan1-123,S. tuberosum,Daekwan1-97,Dakota rose,Advanced breeding line,4x,Table stock,Int,2012,"Highland Agriculture Research Institute, Korea",,
61,DaeKwan1-129,S. tuberosum,ND2717-6,P03404-1,Advanced breeding line,4x,chip processing,Int,2013,"Highland Agriculture Research Institute, Korea",,
62,Daekwan1-139,S. tuberosum,Daekwan110,CS09,Advanced breeding line,4x,Table stock,Int,2016,"Highland Agriculture Research Institute, Korea",,
63,DaeKwan1-143,S. tuberosum,P05810-4,Superior,Advanced breeding line,4x,chip processing,late,2016,"Highland Agriculture Research Institute, Korea",,
64,Daekwan1-144,S. tuberosum,HaRyeong,Atlantic,Advanced breeding line,4x,chip processing,Int,2016,"Highland Agriculture Research Institute, Korea",,
65,Daekwan1-145,S. tuberosum,CIP391047.34,Superior,Advanced breeding line,4x,Table stock,Int,2018,"Highland Agriculture Research Institute, Korea",,
66,Daekwan1-146,S. tuberosum,CIP391047.34,Superior,Advanced breeding line,4x,Table stock,Int,2018,"Highland Agriculture Research Institute, Korea",,
67,Daekwan1-148,S. tuberosum,Haryeong,Superior,Advanced breeding line,4x,Flake,early,2018,"Highland Agriculture Research Institute, Korea",,
68,Daekwan1-149,S. tuberosum,Superior,AG4185,Advanced breeding line,4x,"French fries, flake",Int,2018,"Highland Agriculture Research Institute, Korea",,
69,Daekwan1-152,S. tuberosum,HarRyeong,P05849-10,Advanced breeding line,4x,Table stock,Int,2018,"Highland Agriculture Research Institute, Korea",,
70,Daekwan1-153,S. tuberosum,Superior,Duback,Advanced breeding line,4x,Table stock,early,2019,"Highland Agriculture Research Institute, Korea",,
71,Daekwan1-158,S. tuberosum,Atlantic,Degjiree,Advanced breeding line,4x,Table stock,Int,2019,"Highland Agriculture Research Institute, Korea",,
72,Daekwan1-159,S. tuberosum,Atlantic,Duback,Advanced breeding line,4x,Table stock,Int,2019,"Highland Agriculture Research Institute, Korea",,
73,Daekwan1-160,S. tuberosum,Atlantic,Duback,Advanced breeding line,4x,Table stock,early,2019,"Highland Agriculture Research Institute, Korea",,
74,Spunta,S. tuberosum,Bea ,USDA 96-56,Netherlands variety,4x,Table stock,Int,1969,J. Olden-burger Hettema,,
75,Raja,S. tuberosum,Elvira,CEB70-162-23,Netherlands variety,4x,-,-,1994,CEBECO,,
76,Eba,S. tuberosum,Eersteling,Bato,Netherlands variety,4x,Frenech fries,Int,1966,G. Kuik,,
77,Elkana,S. tuberosum,Mara,Prominent,Netherlands variety,4x,Starch processing,late,1976,Kweekinsti-tuut Karna Avebe Agro,,
78,Sante,S. tuberosum,Y66-13-636 ,SVP AM 66-42,Netherlands variety,4x,Table stock,Int,1981,J.Vegter Agrico B.V.Cooperatieve Handlelsvereniging,,
79,Tanja,S. tuberosum,Eersteling,Roypta Y.14,German variety,4x,-,Int,1988,IPK,,
80,PapaNegras,S. tuberosum,-,-,Spain variety,4x,Pigmented,-,-,-,,
81,Laura,S. tuberosum,Saskia,Katahdin,Spain variety,4x,Chip processing,Int,1967,Neiker,,
82,MayQueen,S. tuberosum,Herald,S.rybinii,UK variety,4x,Table stock,early,1890,United kingdom of great britain,,
83,Pentland Crown,S. tuberosum,G.414,11-79,UK variety,4x,Table stock,Int,1958,SCRI (S.E.E.R.A.D.),,
84,Pentland Dell,S. tuberosum,Roslin Chania, Roslin Sasamua,UK variety,4x,Frency fries,Int,1960,SCRI (S.E.E.R.A.D.),,
85,DarkRedNorland_hari,S. tuberosum,Red kote , ND626,USA variety,4x,Pigmented skin,early,1957,North Dakota University,,
86,Penobscot,S. tuberosum,X927-3 ,Katahdin,USA variety,4x,-,Int,1963,-,,
87,BakeKing,S. tuberosum,Merrimack,Green mountain,USA variety,4x,Table stock,-,1967,Arche Noah,,
88,Triumph,S. tuberosum,Peerless,Early rose,USA variety,4x,Pigmented,early,1878,B.K.Bliss & Sons (New York),,
89,Rosa,S. tuberosum,J.171-8,Wauseon,USA variety,4x,Table stock,late,1980,USA,,
90,RussetNorkotah_hari,S. tuberosum,ND9526-4 Russ,ND9687-5Russ,USA variety,4x,Table stock,early,1987,North Dakota University,,
91,DakotaPearl_hari,S. tuberosum,ND1118-1,ND944-6,USA variety,4x,Table stock/Chip processing,Int,1999,University/ND,,
92,Gemchip_hari,S. tuberosum,BR5960-9,ND5737-3,USA variety,4x,Chip processing,Int,1989,USDA Maine,,
93,NorkingRusset,S. tuberosum,Nooksack,ND9567-2 Russ,USA variety,4x,Frency fries,Int,1985,North Dakota University,,
94,RedMoon_hari,S.tuberosum,-,-,Japanese variety,4x,Pigmented,-,-,-,,
95,Norin1_hari,S. tuberosum,Irish Cobbler,Deodara,Japanese variety,4x,Table stock,-,1937,JPN,,
96,Arachy,S.tuberosum,-,-,Brazil variety,4x,-,Int,-,O.J.Book IAC,,
97,RedRascal,S. tuberosum,-,-,New Zealand variety,4x,Pigmented,late,1993,CFR(NZ),,
98,Belarus3,S. tuberosum,-,-,-,4x,-,-,-,Belarus,,
99,Russia12,S. tuberosum,-,-,-,4x,-,-,-,Russia,,
100,Tamasha,S. tuberosum,-,-,-,4x,-,-,-,Kazakhstan,,
101,Kexin4,S. tuberosum,-,-,-,4x,-,-,-,China,,
102,76B54-2,S. tuberosum,Cherokee ,Platle,,4x,,,,-,,
103,HAt-22,S. tuberosum,-,-,-,4x,-,-,-,-,,
104,CO09551_7W,S. tuberosum,-,-,-,4x,-,-,-,-,,
105,CO97043_14W,S. tuberosum,-,-,-,4x,-,-,-,-,,
106,R5,S. tuberosum,-,-,-,4x,-,-,-,-,,
107,R6,S. tuberosum,-,-,-,4x,-,-,-,-,,
108,1833,S. tuberosum,-,-,-,4x,-,-,-,-,,
109,2048,S. tuberosum,-,-,-,4x,-,-,-,-,,
110,B9482-3,S. tuberosum,-,-,-,4x,-,-,-,-,,
